212.129.41.34 - - [30/Dec/2015:23:03:56 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
212.129.41.34 - - [30/Dec/2015:23:15:37 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
212.129.41.34 - - [30/Dec/2015:23:23:07 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
173.44.194.237 - - [30/Dec/2015:23:27:22 +0800] "GET /~pika1021/Programming/Web_development/My_ HTTP/1.1" 404 319 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0"
62.210.177.134 - - [30/Dec/2015:23:34:53 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/index.html HTTP/1.1" 404 363 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Windows NT 6.1; rv:17.0) Gecko/20100101 Firefox/17.0"
212.129.41.34 - - [30/Dec/2015:23:35:54 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
212.129.41.34 - - [30/Dec/2015:23:38:49 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
45.58.117.224 - - [30/Dec/2015:23:57:03 +0800] "GET /~pika1021/Programming/Web_d HTTP/1.1" 404 305 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Windows NT 6.1; rv:34.0) Gecko/20100101 Firefox/34.0"
212.129.41.34 - - [31/Dec/2015:00:20:31 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
212.129.41.34 - - [31/Dec/2015:00:29:01 +0800] "GET /~pika1021/Programming/Web_development/My_projects/PHP_Learning_Experiences/00 HTTP/1.1" 404 355 "http://ind.ntou.edu.tw/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36"
